,activity_id,date_start,date_end,placeid,description,is_done,max_participants,feedback_due
953,253552,2022-11-08T19:00:00+01:00,2022-11-08T19:30:00+01:00,2210,"If you are more then one, coordinate a pick-up time!   Meeting point: shop entrance  Make sure you can transport a lot of food, if you are not that many people. The entire quantity has to be picked up! Excess can be dropped at hubs.   Closest HUB: Hal 5 fridge, perfect for the fresh food they often give (fruit, veggies and meat).",TRUE,5,2022-12-08T19:30:00+01:00
954,253281,2022-11-07T19:00:00+01:00,2022-11-07T19:30:00+01:00,2210,"If you are more then one, coordinate a pick-up time!   Meeting point: shop entrance  Make sure you can transport a lot of food, if you are not that many people. The entire quantity has to be picked up! Excess can be dropped at hubs.   Closest HUB: Hal 5 fridge, perfect for the fresh food they often give (fruit, veggies and meat).",TRUE,5,2022-12-07T19:30:00+01:00
955,250869,2022-11-05T16:55:00+01:00,2022-11-05T17:25:00+01:00,1480,"Closest HUB - AGORA learning center (for bread only) or Hoveniersdreef 33, 3001 Heverlee. If there is excess food let the other members on  Do not forget to bring your own bags for the pickup.  Additionally, carry Tupperware or a box of that kind as Panos gives away also fresh salads. It might not be appropriate to leave that at the hub, so give the excess to people around you so it is consumed immediately",TRUE,2,2022-12-05T17:25:00+01:00
956,252593,2022-11-04T20:30:00+01:00,2022-11-04T21:00:00+01:00,760,"Closest HUB - AGORA learning center (for bread only) or Hoveniersdreef 33, 3001 Heverlee. If there is excess food let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-12-04T21:00:00+01:00
957,251973,2022-11-02T20:30:00+01:00,2022-11-02T21:00:00+01:00,760,"Closest HUB - AGORA learning center (for bread only) or Hoveniersdreef 33, 3001 Heverlee. If there is excess food let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-12-02T21:00:00+01:00
958,251917,2022-11-02T19:00:00+01:00,2022-11-02T19:30:00+01:00,2210,"If you are more then one, coordinate a pick-up time!   Meeting point: shop entrance  Make sure you can transport a lot of food, if you are not that many people. The entire quantity has to be picked up! Excess can be dropped at hubs.   Closest HUB: Hal 5 fridge, perfect for the fresh food they often give (fruit, veggies and meat).",TRUE,5,2022-12-02T19:30:00+01:00
959,251319,2022-10-31T19:00:00+01:00,2022-10-31T19:30:00+01:00,2210,"If you are more then one, coordinate a pick-up time!   Meeting point: shop entrance  Make sure you can transport a lot of food, if you are not that many people. The entire quantity has to be picked up! Excess can be dropped at hubs.   Closest HUB: Hal 5 fridge, perfect for the fresh food they often give (fruit, veggies and meat).",TRUE,5,2022-11-30T19:30:00+01:00
960,251065,2022-10-30T20:30:00+01:00,2022-10-30T21:00:00+01:00,760,"Closest HUB - AGORA learning center (for bread only) or Hoveniersdreef 33, 3001 Heverlee. If there is excess food let the other members on Facebook know.  Do not forget to bring your own bags for the pickup.  Usually, two persons are enough to carry all the food, however, sometimes it is too much - in this case, please ask for help on the Facebook group and we will help you out :D",TRUE,2,2022-11-29T21:00:00+01:00
961,250614,2022-10-28T19:00:00+02:00,2022-10-28T19:30:00+02:00,2210,"If you are more then one, coordinate a pick-up time!   Meeting point: shop entrance  Make sure you can transport a lot of food, if you are not that many people. The entire quantity has to be picked up! Excess can be dropped at hubs.   Closest HUB: Hal 5 fridge, perfect for the fresh food they often give (fruit, veggies and meat).",TRUE,5,2022-11-27T18:30:00+01:00
962,248452,2022-10-27T19:55:00+02:00,2022-10-27T20:25:00+02:00,843,"Brusselsestraat 60, 3000 Leuven  Meetingpoint: wait outside the entrance for others (who have signed up for pickup). If you are alone, you can go straight in and ask for the manager  Closest HUB: we have agreed with the store to always take everything if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBS",TRUE,2,2022-11-26T19:25:00+01:00
