,userid,activity_id,join_date
70,17541,478028,2024-10-30T16:27:57.979464Z
71,3368,478028,2024-10-30T20:44:19.070617Z
72,15907,477974,2024-10-31T12:19:19.275750Z
73,13555,477974,2024-11-02T11:22:26.831996Z
74,16602,477974,2024-11-05T12:11:18.468579Z
75,16462,477974,2024-11-05T15:45:38.744455Z
76,3368,477726,2024-11-01T09:22:46.999049Z
77,17438,477726,2024-11-03T10:15:06.784587Z
78,16215,477700,2024-10-29T17:13:31.587644Z
79,15945,477700,2024-10-30T10:02:46.787572Z
80,16602,477700,2024-11-04T11:53:47.435985Z
81,14560,477664,2024-10-29T19:00:01.661011Z
82,15907,477664,2024-10-31T12:19:17.043023Z
83,12881,477664,2024-10-31T12:49:13.627042Z
84,17438,477664,2024-11-03T10:18:42.891036Z
85,13471,477664,2024-11-03T15:13:24.890230Z
86,12871,477246,2024-10-28T08:44:41.365149Z
87,6108,477246,2024-10-28T08:45:07.824882Z
88,17541,477184,2024-10-28T09:01:41.981877Z
89,16214,477184,2024-11-02T18:28:36.946093Z
90,12899,477132,2024-10-26T18:40:43.461946Z
91,4719,477132,2024-10-28T10:19:53.449333Z
92,2769,477132,2024-10-29T20:26:41.332448Z
93,15907,477109,2024-10-27T19:49:48.407884Z
94,6719,477109,2024-10-30T11:43:25.118198Z
95,17933,477109,2024-11-02T08:27:02.921178Z
96,16214,477109,2024-11-02T15:05:58.985462Z
97,14230,477109,2024-11-02T15:43:38.685329Z
98,16248,476836,2024-10-25T18:04:05.185126Z
99,6108,476836,2024-10-25T18:04:25.520464Z
100,12871,476836,2024-10-25T18:05:07.341983Z
101,12899,474564,2024-10-18T17:04:14.393865Z
102,13555,474564,2024-10-26T15:49:57.560511Z
103,15945,474564,2024-11-01T14:55:11.050405Z
104,3368,476495,2024-10-28T08:53:15.292903Z
105,17541,476495,2024-10-28T09:02:18.250592Z
106,3368,476475,2024-10-28T08:53:22.801844Z
107,13155,474253,2024-10-17T18:44:49.940470Z
108,15907,476422,2024-10-25T17:50:59.244737Z
109,11009,476422,2024-10-30T06:44:16.411463Z
110,17933,476422,2024-10-31T10:43:15.236939Z
111,3368,476422,2024-10-31T17:15:11.347466Z
112,15907,476093,2024-10-25T17:50:42.620677Z
113,16602,476093,2024-10-29T07:58:21.652396Z
114,13555,476093,2024-10-29T20:43:31.132180Z
115,16306,476093,2024-10-29T21:50:48.626626Z
116,15907,475733,2024-10-25T17:50:22.129937Z
117,16145,475733,2024-10-28T21:01:19.992963Z
118,10315,475733,2024-10-29T09:37:22.293714Z
119,15799,475733,2024-10-29T10:02:09.823579Z
120,17541,473228,2024-10-14T18:08:20.794359Z
121,13155,475434,2024-10-21T18:01:01.421233Z
122,10990,475434,2024-10-21T21:37:42.617198Z
123,16602,475434,2024-10-28T09:15:49.381980Z
124,16118,475396,2024-10-26T11:45:04.033607Z
125,2834,475396,2024-10-26T12:42:01.523184Z
126,16214,475396,2024-10-28T09:39:07.196316Z
127,15402,475396,2024-10-28T14:34:16.258997Z
128,16645,475396,2024-10-28T14:48:46.024203Z
129,16248,475046,2024-10-20T11:01:01.302239Z
130,6108,475046,2024-10-20T11:01:01.672076Z
131,15907,472696,2024-10-12T18:04:08.721918Z
132,2916,472696,2024-10-26T15:56:16.302403Z
133,17933,474909,2024-10-26T10:18:51.944647Z
134,11136,474909,2024-10-26T11:22:45.914127Z
135,6108,474909,2024-10-26T14:44:11.199550Z
136,16248,474909,2024-10-26T14:45:37.771465Z
137,16248,474636,2024-10-18T22:43:34.418211Z
138,6108,474636,2024-10-19T14:00:02.341018Z
139,12871,474636,2024-10-21T15:00:49.861061Z
140,13489,472324,2024-10-11T17:06:05.713922Z
141,17029,472324,2024-10-19T18:20:06.146894Z
142,15907,472324,2024-10-20T20:13:47.406790Z
143,15907,474581,2024-10-21T13:23:53.104975Z
144,3109,474581,2024-10-23T21:15:46.982810Z
145,15283,474581,2024-10-24T17:14:19.383769Z
146,17933,474581,2024-10-25T15:11:24.726277Z
147,17541,474267,2024-10-18T14:52:25.486180Z
