,activity_id,join_date,userid,weight,feedback
93,466839,2024-10-02T17:00:24.691458Z,16248,28.0,"awad was surprised that there was also food to save with green stickers 
 selma's sons as the two boys helped us to empty the pastry boxes 
 about 20 bread loaves 
 about 80 pastries 
 vegetables 
 fruit with green sticker"
94,466558,2024-09-30T18:30:21.926073Z,13155,12.0,"there is no big bread today 
 2 bags of pastries 
 3 pre cook meals 
 several pax of pre cut vegetables 
 several desserts 
 several vlees salade"
95,466087,2024-09-29T08:34:27.167704Z,2916,3.0,"2 packs of packaged hamburgers 
 2 bags of the salad mix 
 pizza 
 2 mini donuts"
96,463777,2024-09-28T17:19:28.864531Z,16010,12.0,"5 big bread loaves 
 some baguettes 
 buns 
 2 chocolate donuts 
 a pack of salmon burgers 
 2 chocolate pudding pots 
 3 tubs of assorted fruit flavoured yogurt"
97,466013,2024-09-28T17:22:18.644539Z,13155,20.0,"the amount of food is fit for three persons 
 only 1 big breads 
 several pastries 
 but a lot of small breads 
 baguettes 
 we also get rice pap 
 some herbs"
98,465737,2024-09-28T06:59:42.144707Z,16248,12.0,"5 kg different types of meat 
 6 ready to eat meals 
 3 maccarani cheese 
 no pastry 
 1 protein bread 
 only 4 bread loaves 
 veggies : 400 g oyster mushrooms"
99,464994,2024-09-25T18:07:06.631928Z,2751,0.0,
100,464991,2024-09-25T18:07:41.950854Z,2751,0.0,
101,464946,2024-09-27T07:40:43.279662Z,15562,15.0,"mainly bread 
 pastries"
102,462069,2024-09-23T18:42:52.218568Z,13155,2.0,"salad 
 1 mixed vegetables 
 tomatoes 
 radish 
 1 bag of pastries"
103,464298,2024-09-23T20:04:53.648275Z,16248,8.0,"no bread loaves today 
 a 6 portions custard cake 
 a few pastries along with 6 pistolets 
 3 bavarois desserts with forest fruit 
 a box with 8 chocolates pralines 
 3 jars of chicken bread spread 
 sliced chicken fillet spread 
 4 bags of pre-cut pumpkin soup vegetables 
 1 mixed salad"
104,461532,2024-09-21T18:02:36.971339Z,16010,8.0,"3 bags of bread 
 a bag of baked pastries 
 a pack of mixed diced vegetables 
 some tomatoes"
105,463138,2024-09-19T20:36:51.543649Z,16010,4.0,"2 salmon salads 
 a small bag of bread rolls 
 a ready to eat pasta meal 
 2 packs of stir-fry wok veggies"
106,462814,2024-09-18T20:19:58.252474Z,16010,3.0,"a rock hard chocolate donut 
 a choco banana muffin 
 3 packs of wok veggies 
 a chicken curry s"
107,462786,2024-09-25T18:08:30.035983Z,2751,10.0,some breads
108,460124,2024-09-18T18:03:23.705133Z,16010,6.0,"a few bread rolls 
 chicken 
 a dozen eggs 
 blueberry protein yogurt"
109,462082,2024-09-16T19:09:58.663338Z,13155,24.0,"because so many food 
 more than 10 pax of meat beef 
 pork 
 sausage 
 gyros 
 some vegetables witloff 
 mushroom 
 cheese 
 salad 
 fruits peach 
 pre cut fruits 
 several bags of pastries 
 small bread 
 around ten big breads"
110,461662,2024-09-15T12:11:39.926150Z,16248,8.0,"2 large fruit bowls 
 3 packaged mixed lettuce 
 1 mixed soup vegetables 
 2 jars of herring with mayonnaise 
 4 turkey schnitzels 
 7 croissants 
 4 chocolate buns 
 5 sausage rolls 
 5 bread loaves 
 5 kg bread 
 pastry 
 1 kg fruit 
 veggies 
 5 kg fish 
 meat"
111,461213,2024-09-14T07:15:13.060715Z,16248,14.5,"about 9 bread loaves 
 5 small bread rolls 
 1 sliced bread 
 1 bag of chicory in good condition 
 besidesreceived a variety of meat 
 mostly prepared meat like schnitzels 
 hamburgers 
 vegetables : 1 kg 
 bread : 9 
 meat : 4 kg"
112,458718,2024-09-14T11:09:16.909261Z,16010,8.0,"many bags of decaf coffee pods 
 canned pears 
 a bag of self-raising flour 
 2 jars of mango 
 lapsi pickles 
 vegetarian-friendly beef carbonnade stew mix 
 many cans of milo instant choco milk powder"
113,460881,2024-09-12T20:02:22.814933Z,16010,6.0,"a small bag of 2 croissants 
 several small bags of assorted bread rolls 
 baguettes"
114,460810,2024-09-12T18:47:58.478280Z,13155,24.0,"a lot of bread 
 some pastries 
 several box of vegetables 
 several desserts"
115,458053,2024-09-11T19:08:18.414920Z,13155,2.0,"got 1 bowl of chicken salad 
 2 chicken curry wraps 
 1 chicken spread 
 1 bag of pastries 
 1 snack chocolate nuts"
116,456842,2024-09-08T14:21:42.224558Z,16010,12.0,"2 packs of fish fillets 
 assorted bread 
 a few baked pastries 
 3 ready to eat bowls 
 a mushroom pizza 
 a few packs of cabbage slaw 
 focaccia"
117,456475,2024-09-06T17:43:33.252456Z,16010,8.0,"20 packets of assorted vegetarian instant noodles from china 
 7 packs of dry rice vermicelli 
 pepper crisps 
 a big 500g bag of dried shredded basil"
118,458735,2024-09-12T18:57:12.195566Z,3368,12.0,"we unfortunately couldn't take all the bread 
 besides bread 
 pastry 
 a ready made meal"
119,458434,2024-09-05T18:39:43.638654Z,13155,0.5,
120,456176,2024-09-05T18:38:34.053546Z,13155,2.0,"i got 4 pax of pre-cut veggies 
 two bags of pastries"
121,458407,2024-09-11T18:36:57.799727Z,16399,0.0,"there was a lot of bread maybe 8 loaves 
 some buns 
 some sausages 
 some fruits 
 veggies"
