,lat,lon,city,housenumber,postcode,street,name,opening_hours,amenity_type,amenity_extra,website,x,y,statistical_sector
301,50.8821615,4.7175168,Leuven,17,3000,Martelarenlaan,Frituur Station,Mo-Su 16:30-22:30,fast_food,friture,https://www.frituurstationleuven.be,174543.39285027634,174702.170409685,Kessel-lo achter centrale
302,50.8761004,4.7201096,Leuven,221,3000,Martelarenlaan,Ice Monki,"Mo-Fr 12:00-21:00; Sa-Su,PH 13:00-21:00",ice_cream,,,174729.0496862897,174028.79256181605,Belle vue
303,50.8813999,4.7175901,Leuven,36,3010,Martelarenlaan,Bar & Grill,,restaurant,,,174548.94989700493,174617.47385578137,Kessel-lo achter centrale
304,50.8954387,4.768191,Lubbeek,4,3210,Martelarenplaats,De Frietverslinder,,fast_food,friture,,178101.4684077798,176197.1307544429,Linden-centrum
305,50.8813292,4.7138802,Leuven,10,3000,Martelarenplein,Kosmopol,,cafe,brasserie,https://kosmopol-leuven.be/,174287.90951261335,174608.3867634423,Bondgenotenlaan
306,50.8809464,4.7140569,Leuven,6,3000,Martelarenplein,La Royale,,cafe,brasserie;bar;restaurant,,174300.54286599634,174565.86179033667,Bondgenotenlaan
307,50.8816917,4.7148191,Leuven,17,3000,Martelarenplein,Panos,,fast_food,sandwich,,174353.79457698026,174649.01960786805,Leuven station
308,50.8815547,4.714113,Leuven,14,3000,Martelarenplein,A La Sirène,,pub,cafe,,174304.1754865163,174633.5478412388,Bondgenotenlaan
309,50.8815736,4.7142741,Leuven,15,3000,Martelarenplein,Café De La Gare,Mo-Su 09:00-22:00,pub,brasserie,,174315.50274759278,174635.70313424245,Bondgenotenlaan
310,50.8806149,4.7143818,Leuven,2,3000,Martelarenplein,Café St Jean,,pub,,,174323.57928093045,174529.0921248626,Bondgenotenlaan
311,50.8816735,4.7147016,Leuven,16,3000,Martelarenplein,Bavet,,restaurant,,,174345.53524447003,174646.9564223606,Leuven station
312,50.8814074,4.7138537,Leuven,11,3000,Martelarenplein,Van De Weyer,,restaurant,brasserie;international,https://www.restovandeweyer.be/,174286.004114525,174617.07709378563,Bondgenotenlaan
313,50.8812476,4.7139147,Leuven,8,3000,Martelarenplein,La Vignette,,restaurant,french,https://www.lavignetteleuven.be/,174290.3796647984,174599.32083807234,Bondgenotenlaan
314,50.8811435,4.7139582,Leuven,7,3000,Martelarenplein,Grand Café Industrie,,restaurant,brasserie,https://www.grandcafe-industrie.be/,174293.49484509203,174587.7549509853,Bondgenotenlaan
315,50.8815382,4.7139719,Leuven,13,3000,Martelarenplein,Café Sport,,restaurant,burger;regional,,174294.25442979598,174631.66610646434,Bondgenotenlaan
316,50.880734,4.7141428,Leuven,5,3000,Martelarenplein,De Klimop,,restaurant,european restaurant,https://www.deklimopleuven.be/,174306.6980897209,174542.2624612702,Bondgenotenlaan
317,50.880204,4.7001633,Leuven,8,3000,Mathieu de Layensplein,moochi,Mo-Sa 11:00-22:00; Su 12:00-22:00,ice_cream,,https://www.moochie.be/,173323.16712242234,174478.81242032722,Lei - vismarkt
318,50.8797902,4.699967,Leuven,5,3000,Mathieu de Layensplein,Brasserie Foyer,,pub,brasserie,http://www.brasseriefoyer.be,173309.55827277072,174432.7192732608,Leuven-centrum
319,50.8801756,4.7004021,Leuven,9,3000,Mathieu de Layensplein,De Blauwe Schuit,Mo-Su 11:00-24:00,pub,,https://www.deblauweschuit.be/,173339.98679207766,174475.72837299947,Leuven-centrum
320,50.879746,4.7000808,Leuven,3,3000,Mathieu de Layensplein,Las Lanzas,,restaurant,mediterranean;spanish,http://www.laslanzas.be,173317.58899340802,174427.83823967073,Leuven-centrum
321,50.8797111,4.7001653,Leuven,2,3000,Mathieu de Layensplein,Ciao Italia,,restaurant,italian,http://www.resto-ciaoitalia.be,173323.55309507754,174423.9825339634,Leuven-centrum
322,50.8221982,4.6547475,Oud-Heverlee,2,3050,Maurits Noëstraat,Spaans Dak,,restaurant,,,170151.94110472337,168012.92867580056,Oud-heverlee-verspr. bewoning
323,50.823439,4.6577265,Oud-Heverlee,15,3050,Maurits Noëstraat,Zoete Bron Brasserie,Tu-Su 11:00-21:00,restaurant,brasserie,https://www.zoetebron.be/,170361.3089714315,168151.7687954381,Oud-heverlee-verspr. bewoning
